Mobile,Colour,Ram,Storage,Amazon_Price,Flipcart_Price,Price_Difference
REDMI 9 POWER,BLAZING BLUE,4,64,10499,10499,0
REDMI 9 PRIME,MATTE BLACK,4,64,9999,9999,0
REDMI NOTE 10S,DEEP SEA BLUE,6,64,12999,15470,2471
REDMI NOTE 10,AQUA GREEN,4,64,13999,15349,1350
REDMI 9A,MIDNIGHT BLACK,2,32,6799,7999,1200
REDMI 9 PRIME,MINT GREEN,4,64,9999,9999,0
REDMI 9,SPORTY ORANGE,4,64,8499,9345,846
REDMI 9 PRIME,SPACE BLUE,4,64,9999,9999,0
REDMI 9 PRIME,SUNRISE FLARE,4,64,9999,9999,0
REDMI NOTE 10 PRO,VINTAGE BRONZE,6,128,16999,19940,2941
REDMI 9 ACTIV,CARBON BLACK,4,64,8799,10873,2074
REDMI NOTE 10S,FROST WHITE,6,64,12999,15580,2581
REDMI NOTE 10T 5G,CHROMIUM WHITE,6,128,16999,18049,1050
REDMI NOTE 10 PRO,DARK NIGHT,6,128,16999,18999,2000
REDMI NOTE 10 PRO MAX,DARK NIGHT,6,128,18999,21990,2991
REDMI 9 POWER,FIERY RED,4,64,10499,10499,0
REDMI NOTE 10 PRO MAX,VINTAGE BRONZE,6,128,18999,20799,1800
